timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/11 04:55:25.667, 1, 76.39 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:25.667, 2, 77.42 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:25.667, 3, 75.04 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:25.667, 4, 77.67 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:25.667, 5, 77.24 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:25.667, 6, 77.30 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:25.667, 7, 76.70 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:26.667, 0, 77.01 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:26.667, 1, 76.35 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:26.667, 2, 77.20 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:26.667, 3, 74.98 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:26.667, 4, 77.57 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:26.667, 5, 77.25 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:26.667, 6, 77.26 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:26.667, 7, 76.73 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:27.668, 0, 76.98 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:27.668, 1, 76.34 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:27.668, 2, 77.46 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:27.668, 3, 74.97 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:27.668, 4, 77.49 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:27.668, 5, 77.18 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:27.668, 6, 77.24 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:27.668, 7, 76.74 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:28.668, 0, 76.96 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:28.668, 1, 76.34 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:28.668, 2, 77.42 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:28.668, 3, 75.10 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:28.668, 4, 77.54 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:28.668, 5, 77.16 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:28.668, 6, 77.24 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:28.668, 7, 76.71 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:29.668, 0, 77.03 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:29.668, 1, 76.39 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:29.668, 2, 77.65 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:29.668, 3, 75.10 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:29.668, 4, 77.55 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:29.668, 5, 77.18 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:29.668, 6, 77.19 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:29.668, 7, 76.71 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:30.669, 0, 76.91 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:30.669, 1, 76.28 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:30.669, 2, 77.41 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:30.669, 3, 75.01 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:30.669, 4, 79.91 W, 35, 795 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:30.669, 5, 77.26 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:30.669, 6, 77.17 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:30.669, 7, 76.64 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:31.669, 0, 76.84 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:31.669, 1, 76.25 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:31.669, 2, 77.48 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:31.669, 3, 74.98 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:31.669, 4, 80.39 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:31.669, 5, 77.12 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:31.669, 6, 77.08 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:31.669, 7, 76.74 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:32.669, 0, 76.79 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:32.669, 1, 76.27 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:32.669, 2, 77.35 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:32.669, 3, 75.01 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:32.669, 4, 77.48 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:32.669, 5, 77.10 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:32.669, 6, 77.08 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:32.669, 7, 76.67 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:33.669, 0, 76.82 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:33.669, 1, 76.23 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:33.670, 2, 77.26 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:33.670, 3, 75.01 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:33.670, 4, 77.37 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:33.670, 5, 77.16 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:33.670, 6, 77.07 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:33.670, 7, 76.68 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:34.670, 0, 76.81 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:34.670, 1, 76.26 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:34.670, 2, 77.39 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:34.670, 3, 74.97 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:34.670, 4, 77.32 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:34.670, 5, 77.14 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:34.670, 6, 77.06 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:34.670, 7, 76.64 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:35.670, 0, 76.78 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:35.670, 1, 76.29 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:35.670, 2, 77.22 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:35.670, 3, 74.96 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:35.670, 4, 77.30 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:35.670, 5, 77.13 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:35.670, 6, 77.01 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:35.670, 7, 76.62 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:36.670, 0, 76.68 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:36.670, 1, 76.19 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:36.670, 2, 77.35 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:36.670, 3, 74.98 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:36.670, 4, 77.36 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:36.670, 5, 77.11 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:36.670, 6, 76.97 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:36.670, 7, 76.60 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:37.670, 0, 76.68 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:37.670, 1, 76.26 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:37.670, 2, 77.30 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:37.670, 3, 74.93 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:37.670, 4, 77.30 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:37.670, 5, 77.05 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:37.670, 6, 76.94 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:37.670, 7, 76.58 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:38.671, 0, 76.68 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:38.671, 1, 76.15 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:38.671, 2, 77.12 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:38.671, 3, 74.90 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:38.671, 4, 77.23 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:38.671, 5, 77.05 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:38.671, 6, 76.93 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:38.671, 7, 76.61 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:39.671, 0, 76.67 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:39.671, 1, 76.18 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:39.671, 2, 77.28 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:39.671, 3, 75.02 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:39.671, 4, 77.17 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:39.671, 5, 77.15 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:39.671, 6, 76.93 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:39.671, 7, 76.59 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:40.671, 0, 76.72 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:40.671, 1, 76.18 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:40.671, 2, 77.17 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:40.671, 3, 74.98 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:40.671, 4, 77.21 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:40.671, 5, 77.08 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:40.671, 6, 76.96 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:40.671, 7, 76.59 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:41.671, 0, 76.88 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:41.671, 1, 76.21 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:41.671, 2, 77.07 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:41.671, 3, 74.92 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:41.671, 4, 77.23 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:41.671, 5, 77.10 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:41.671, 6, 76.82 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:41.671, 7, 76.56 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:42.672, 0, 76.85 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:42.672, 1, 76.14 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:42.672, 2, 77.28 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:42.672, 3, 74.92 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:42.672, 4, 77.23 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:42.672, 5, 77.05 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:42.672, 6, 76.84 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:42.672, 7, 76.55 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:43.673, 0, 76.78 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:43.673, 1, 76.17 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:43.673, 2, 77.14 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:43.673, 3, 74.89 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:43.673, 4, 77.21 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:43.673, 5, 77.03 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:43.673, 6, 76.79 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:43.673, 7, 76.54 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:44.673, 0, 76.82 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:44.673, 1, 76.13 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:44.673, 2, 77.00 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:44.673, 3, 74.93 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:44.673, 4, 77.10 W, 33, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:44.673, 5, 77.07 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:44.673, 6, 76.79 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:44.673, 7, 76.57 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:45.673, 0, 76.82 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:45.673, 1, 76.13 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:45.673, 2, 77.13 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:45.673, 3, 74.94 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:45.673, 4, 77.12 W, 33, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:45.673, 5, 77.06 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:45.673, 6, 76.81 W, 33, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:45.673, 7, 76.56 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:46.673, 0, 76.81 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:46.674, 1, 76.13 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:46.674, 2, 77.06 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:46.674, 3, 74.90 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:46.674, 4, 77.10 W, 33, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:46.674, 5, 77.03 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:46.674, 6, 76.75 W, 33, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:46.674, 7, 76.56 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:47.674, 0, 76.77 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:47.674, 1, 76.06 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:47.674, 2, 77.00 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:47.674, 3, 74.96 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:47.674, 4, 77.12 W, 33, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:47.674, 5, 77.07 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:47.674, 6, 76.74 W, 33, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:47.674, 7, 76.53 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:48.674, 0, 76.73 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:48.674, 1, 76.11 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:48.674, 2, 77.00 W, 34, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:48.674, 3, 74.88 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
