timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/10 19:52:17.256, 1, 75.71 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 2, 76.64 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 3, 74.96 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 4, 76.52 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 5, 76.76 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 6, 75.70 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 7, 76.12 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:18.256, 0, 76.16 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:18.256, 1, 75.74 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:18.256, 2, 76.93 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:18.256, 3, 74.98 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:18.256, 4, 76.56 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:18.256, 5, 76.65 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:18.256, 6, 75.78 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:18.256, 7, 76.13 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:19.256, 0, 76.12 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:19.257, 1, 75.66 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:19.257, 2, 76.85 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:19.257, 3, 75.03 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:19.257, 4, 76.44 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:19.257, 5, 76.68 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:19.257, 6, 75.80 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:19.257, 7, 76.13 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:20.257, 0, 76.07 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:20.257, 1, 75.71 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:20.257, 2, 76.65 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:20.257, 3, 75.01 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:20.257, 4, 76.59 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:20.257, 5, 76.72 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:20.257, 6, 75.71 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:20.257, 7, 76.13 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:21.257, 0, 76.09 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:21.257, 1, 75.66 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:21.257, 2, 76.94 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:21.257, 3, 74.99 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:21.257, 4, 76.54 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:21.257, 5, 76.69 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:21.257, 6, 75.74 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:21.257, 7, 76.11 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:22.257, 0, 76.12 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:22.257, 1, 75.75 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:22.257, 2, 76.83 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:22.257, 3, 74.99 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:22.257, 4, 76.51 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:22.257, 5, 76.77 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:22.258, 6, 75.74 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:22.258, 7, 76.14 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:23.258, 0, 76.13 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:23.258, 1, 75.62 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
